publisher,shortname,"iso_alpha_2",iso_alpha_3,code_officiel_geographique_insee,siren,siret,rid7,www_url,twitter_handle,facebook_handle,instagram_handle,url_linkedin,youtube_handle,github_handle,dockerhub_handle,kaggle_handle
Agence sanitaire et sociale de Nouvelle-Calédonie,DASS,"NC",NCL,98818,,,0133538,https://dass.gouv.nc/,GouvNC,,,,,,,
CAFAT,CAFAT,"NC",NCL,98818,,,0112615,https://www.cafat.nc/,,cafat.nc,,https://www.linkedin.com/company/cafat./,cafat6485,,,
Chambre de commerce et d'industrie de Nouvelle-Calédonie,CCI-NC,"NC",NCL,98818,,,0115576,https://www.cci.nc/,,cci.nouvellecaledonie,opt_nc,https://www.linkedin.com/company/ccinc/,ccinc1787,,,
Chambre de métiers et de l'artisanat de Nouvelle-Calédonie,CMA-NC,"NC",NCL,98818,,,0147421,https://www.cma.nc/,,cma.nouvelle.caledonie,,,cma-nc,,,
Commune de Koohnê,Koné,"NC",NCL,98811,,,0133017,https://www.koohne.nc/,,PointIKoohne,,,,,,
GIE SERAIL,S.E.R.A.I.L,"NC",NCL,98818,,,,https://www.serail.nc/,,,,,,,,
Gouvernement de la Nouvelle-Calédonie,Gouv.nc,"NC",NCL,98818,,,0566661,https://gouv.nc/,GouvNC,GouvNC,,https://www.linkedin.com/company/gouvernement-de-la-nouvelle-caledonie/,gouvernementdelanouvelle-c5161,,,
Haut-Commissariat de la République en Nouvelle-Calédonie,Haut-Commissariat,"FR",FRA,98818,130003122,,0134551,https://www.nouvelle-caledonie.gouv.fr/,HC98800,hautcommissariat.ennouvellecaledonie,,https://www.linkedin.com/company/haut-commissariat-de-la-r%C3%A9publique-en-nouvelle-cal%C3%A9donie/,haut-commissariatennouvell9616,,,
INSEE,Insee,"FR",FRA,75056,180089013,,,https://www.insee.fr/en/accueil,InseeFr,,,https://www.linkedin.com/company/insee/,insee-institutnationaldela5376,,,
Institut de la statistique et des études économiques,ISEE,"NC",NCL,98818,,,0134361,https://www.isee.nc/,StatEcoNC,isee.nc,,https://www.linkedin.com/company/isee-nc/,iseenc8329,,,
Ministère de l'Intérieur,interieur.gouv.fr,"FR",FRA,75056,110014016,,,https://www.interieur.gouv.fr/,"Interieur_Gouv
",Interieur.Gouv,,https://www.linkedin.com/company/ministere-de-l-interieur/,MinistereInterieur,,,
Météo-France,meteofrance,"FR",FRA,75056,180060030,,,https://meteofrance.fr/,meteofrance,MeteoFrance,,https://www.linkedin.com/company/meteo-france/,Meteofrance0,,,
Office des postes et télécommunications de Nouvelle-Calédonie (OPT-NC),OPT-NC,"NC",NCL,98818,,,0132720,https://www.opt.nc/,OPT_NC,OPT.NC,opt_nc,https://www.linkedin.com/company/opt-new-caledonia/mycompany/,optnc,opt-nc,optnc,optnouvellecaldonie
Politique de l'eau partagée en Nouvelle-Calédonie,PEPNC,"NC",NCL,98818,,,,https://eau.nc/politique-de-leau-partagee/presentation,,eaunouvellecaledonie,,,,,,
Province Sud,P.Sud,"NC",NCL,98818,,,0144402,https://www.province-sud.nc/,ProvinceSud,provincesud,province_sud,https://www.linkedin.com/company/province-sud/,province-sud,,,
Province Nord,P.Nord,"NC",NCL,98811,,,0201731,https://www.province-nord.nc/,,ProvinceNordNC,,https://www.linkedin.com/company/province-nord-nouvelle-cal-donie/,,,,
Province des Iles Loyauté,Province des Iles,"NC",NCL,98814,,,,https://www.province-iles.nc/,,Provincedesiles,,https://www.linkedin.com/company/la-province-des-iles-loyaut%C3%A9/,provinceilesloyaute8901,,,
Pôle Emploi,Pôle Emploi,"FR",FRA,75056,130005481,13000548100010,,https://www.pole-emploi.fr/,pole_emploi,poleemploi,,https://www.linkedin.com/company/poleemploi/,poleemploiorg,,,
Syndicat Mixte des Transports Urbains du Grand Nouméa,SMTU,"NC",NCL,98818,,,,https://www.smtu.nc,,,,,,,,
Vice-rectorat de la Nouvelle-Calédonie,Vice rectorat,"NC",NCL,98818,,,0130898,https://www.ac-noumea.nc/,acnoumea,acnoumea,acnoumea,https://www.linkedin.com/company/vice-rectorat-de-la-nouvelle-caledonie/,,,,
Ville de Dumbéa,Dumbéa,"NC",NCL,98805,,,0132951,https://www.ville-dumbea.nc/,,,,,,,,
Ville de Kaala-Gomen,Kaala-Gomen,"NC",NCL,98810,,,0133009,https://www.commune-mairie.fr/kaala-gomen-98817/,,,,,,,,
Ville de Nouméa,Nouméa,"NC",NCL,98818,,,0133041,https://www.noumea.nc/,,noumeamaville,,https://www.linkedin.com/company/noumea-town-hall/,VilleDeNoumea,,,
Ville de Païta,Païta,"NC",NCL,98821,,,0133108,https://paita.nc/,,MairiePaita,,,mairiepaita,,,
Ville du Mont-Dore,Mont-Dore,"NC",NCL,98817,,,0133074,https://www.mont-dore.nc/,,mairiemontdore,,,,,,
Commune de Pouembout,Pouembout,"NC",NCL,98825,,,0133140,https://www.commune-mairie.fr/pouembout-98825/,,Pouembout,,,,,,
